Caratsize	V2	Clarity	Certification	Price
.30	D	VS2	GIA	1302
.30	E	VS1	GIA	1510
.30	G	VVS1	GIA	1510
.30	G	VS1	GIA	1260
.31	D	VS1	GIA	1641
.31	E	VS1	GIA	1555
.31	F	VS1	GIA	1427
.31	G	VVS2	GIA	1427
.31	H	VS2	GIA	1126
.31	I	VS1	GIA	1126
.32	F	VS1	GIA	1468
.32	G	VS2	GIA	1202
.33	E	VS2	GIA	1327
.33	I	VS2	GIA	1098
.34	E	VS1	GIA	1693
.34	F	VS1	GIA	1551
.34	G	VS1	GIA	1410
.34	G	VS2	GIA	1269
.34	H	VS1	GIA	1316
.34	H	VS2	GIA	1222
.35	E	VS1	GIA	1738
.35	F	VS1	GIA	1593
.35	G	VS1	GIA	1447
.35	H	VS2	GIA	1255
.36	F	VS1	GIA	1635
.36	H	VVS2	GIA	1485
.37	F	VS2	GIA	1420
.37	H	VS1	GIA	1420
.40	F	VS1	GIA	1911
.40	H	VS1	GIA	1525
.41	F	VS1	GIA	1956
.43	H	VVS2	GIA	1747
.45	I	VS1	GIA	1572
.46	E	VVS2	GIA	2942
.48	G	VVS2	GIA	2532
.50	E	VS1	GIA	3501
.50	E	VS1	GIA	3501
.50	F	VVS2	GIA	3501
.50	F	VS1	GIA	3293
.50	G	VS1	GIA	3016
.51	F	VVS2	GIA	3567
.51	G	VS1	GIA	3205
.52	D	VS2	GIA	3490
.52	E	VS1	GIA	3635
.52	F	VVS2	GIA	3635
.52	F	VS1	GIA	3418
.53	D	VS1	GIA	3921
.53	F	VVS2	GIA	3701
.53	F	VS1	GIA	3480
.53	G	VVS2	GIA	3407
.54	E	VS1	GIA	3767
.54	F	VVS1	GIA	4066
.55	E	VVS2	GIA	4138
.55	F	VS1	GIA	3605
.55	G	VVS2	GIA	3529
.56	F	VS1	GIA	3667
.56	I	VVS2	GIA	2892
.57	G	VVS2	GIA	3651
.59	G	VVS2	GIA	3773
.60	F	VS1	GIA	4291
.62	E	VVS1	GIA	5845
.63	G	VVS2	GIA	4401
.64	G	VVS1	GIA	4759
.66	H	VVS1	GIA	4300
.70	F	VS1	GIA	5510
.70	G	VS1	GIA	5122
.70	H	VVS2	GIA	5122
.70	I	VS2	GIA	3861
.71	F	VVS2	GIA	5881
.71	F	VS1	GIA	5586
.71	F	VS2	GIA	5193
.71	H	VVS2	GIA	5193
.72	F	VS2	GIA	5263
.80	I	VVS2	GIA	5441
.82	I	VS2	GIA	4948
.84	H	VS2	GIA	5705
.85	F	VS2	GIA	6805
.86	H	VVS2	GIA	6882
.89	H	VS1	GIA	6709
.90	I	VVS2	GIA	6682
.50	E	VS1	GIA	3501
.50	G	VVS1	GIA	3432
.51	F	VVS1	GIA	3851
.55	H	IF	GIA	3605
.56	E	VS1	GIA	3900
.57	H	VVS1	GIA	3415
.60	H	IF	GIA	4291
.63	E	IF	GIA	6512
.70	E	VS1	GIA	5800
.70	F	VVS1	GIA	6285
.70	F	VS2	GIA	5122
.70	F	VS2	GIA	5122
.70	G	VS1	GIA	5122
.70	H	VVS2	GIA	5122
.71	D	VS1	GIA	6372
.71	E	VS1	GIA	5881
.71	H	VVS2	GIA	5193
.72	E	VS1	GIA	5961
.72	H	VVS1	GIA	5662
.73	E	VS2	GIA	5738
.73	H	VS1	GIA	5030
.73	H	VS1	GIA	5030
.73	I	VVS1	GIA	4727
.73	I	VS1	GIA	4221
.74	G	VVS2	GIA	5815
.74	H	VS2	GIA	4585
.75	D	VVS2	GIA	7368
.75	I	VVS2	GIA	4667
.75	I	VS1	GIA	4355
.76	D	IF	GIA	9885
.77	F	VVS1	GIA	6919
.78	H	VS1	GIA	5386
.80	I	VS2	GIA	4832
.83	E	VS2	GIA	7156
.90	F	VS1	GIA	7680
1.00	D	VVS1	GIA	15582
1.00	D	VS1	GIA	11419
1.00	E	VS1	GIA	10588
1.00	E	VS2	GIA	9757
1.00	F	IF	GIA	13913
1.00	F	VVS2	GIA	10588
1.00	F	VS1	GIA	10713
1.00	F	VS2	GIA	9480
1.00	G	VVS2	GIA	9896
1.00	G	VS1	GIA	9619
1.00	G	VS2	GIA	9169
1.00	G	VS2	GIA	9203
1.00	H	VS2	GIA	8788
1.00	I	VS1	GIA	8095
1.00	I	VS2	GIA	7818
1.01	D	VVS1	GIA	16008
1.01	E	VS1	GIA	10692
1.01	E	VS2	GIA	9853
1.01	F	VS1	GIA	10272
1.01	F	VS2	GIA	9573
1.01	H	VS1	GIA	9153
1.01	H	VS2	GIA	8873
1.01	I	VVS1	GIA	8873
1.01	I	VVS2	GIA	8455
1.01	I	VS2	GIA	7895
1.02	F	VS1	GIA	10372
1.02	F	VS2	GIA	9666
